filename,path,datetime,lat,lon,gps_accuracy_m
IMG_2744.HEIC,data/raw_photos/Building28Area/IMG_2744.HEIC,2025:12:27 10:45:08,31.26203611111111,34.80280277777778,18.89827184704008
IMG_2745.HEIC,data/raw_photos/Building28Area/IMG_2745.HEIC,2025:12:27 10:45:10,31.26208888888889,34.80283055555555,11.591488150309587
IMG_2746.HEIC,data/raw_photos/Building28Area/IMG_2746.HEIC,2025:12:27 10:45:16,31.26214722222222,34.802875,14.0
IMG_2747.HEIC,data/raw_photos/Building28Area/IMG_2747.HEIC,2025:12:27 10:45:18,31.26215277777778,34.802883333333334,14.0
IMG_2748.HEIC,data/raw_photos/Building28Area/IMG_2748.HEIC,2025:12:27 10:45:22,31.26214722222222,34.802883333333334,4.748651529343367
IMG_2749.HEIC,data/raw_photos/Building28Area/IMG_2749.HEIC,2025:12:27 10:45:30,31.26213611111111,34.802902777777774,3.413605352925741
IMG_2750.HEIC,data/raw_photos/Building28Area/IMG_2750.HEIC,2025:12:27 10:45:43,31.26205277777778,34.80289722222222,4.060005608000748
IMG_2751.HEIC,data/raw_photos/Building28Area/IMG_2751.HEIC,2025:12:27 10:45:49,31.26206388888889,34.80289722222222,4.909612946528451
IMG_2752.HEIC,data/raw_photos/Building28Area/IMG_2752.HEIC,2025:12:27 10:45:53,31.262058333333332,34.80288611111111,6.537342569269521
IMG_2753.HEIC,data/raw_photos/Building28Area/IMG_2753.HEIC,2025:12:27 10:45:55,31.26205277777778,34.80289444444444,5.974828375286041
IMG_2754.HEIC,data/raw_photos/Building28Area/IMG_2754.HEIC,2025:12:27 10:45:59,31.262047222222222,34.80289722222222,5.4821133571621665
IMG_2755.HEIC,data/raw_photos/Building28Area/IMG_2755.HEIC,2025:12:27 10:46:04,31.26205,34.802905555555554,5.150489121268342
IMG_2756.HEIC,data/raw_photos/Building28Area/IMG_2756.HEIC,2025:12:27 10:46:23,31.262002777777777,34.80293333333333,19.204848451111914
IMG_2757.HEIC,data/raw_photos/Building28Area/IMG_2757.HEIC,2025:12:27 10:46:27,31.262,34.80289166666666,21.927705689433907
IMG_2758.HEIC,data/raw_photos/Building28Area/IMG_2758.HEIC,2025:12:27 10:46:31,31.261994444444444,34.802880555555554,20.02891740466293
IMG_2759.HEIC,data/raw_photos/Building28Area/IMG_2759.HEIC,2025:12:27 10:46:39,31.26196388888889,34.802863888888886,18.96440147853284
IMG_2760.HEIC,data/raw_photos/Building28Area/IMG_2760.HEIC,2025:12:27 10:46:45,31.261961111111113,34.80289166666666,18.942735263702172
IMG_2761.HEIC,data/raw_photos/Building28Area/IMG_2761.HEIC,2025:12:27 10:47:13,31.261869444444443,34.80291666666666,16.22161971000825
IMG_2762.HEIC,data/raw_photos/Building28Area/IMG_2762.HEIC,2025:12:27 10:47:19,31.261861111111113,34.80291388888889,18.344296922148462
IMG_2763.HEIC,data/raw_photos/Building28Area/IMG_2763.HEIC,2025:12:27 10:47:22,31.261861111111113,34.80291666666666,17.78847789115646
IMG_2764.HEIC,data/raw_photos/Building28Area/IMG_2764.HEIC,2025:12:27 10:47:24,31.261861111111113,34.80291666666666,16.99406205569959
IMG_2765.HEIC,data/raw_photos/Building28Area/IMG_2765.HEIC,2025:12:27 10:47:33,31.261813888888888,34.80289722222222,19.525821834415584
IMG_2766.HEIC,data/raw_photos/Building28Area/IMG_2766.HEIC,2025:12:27 10:47:36,31.26182222222222,34.802924999999995,17.63985051140834
IMG_2767.HEIC,data/raw_photos/Building28Area/IMG_2767.HEIC,2025:12:27 10:47:52,31.261847222222222,34.80284444444444,18.29678631051753
IMG_2768.HEIC,data/raw_photos/Building28Area/IMG_2768.HEIC,2025:12:27 10:47:54,31.261861111111113,34.80285277777777,17.14316813932642
IMG_2769.HEIC,data/raw_photos/Building28Area/IMG_2769.HEIC,2025:12:27 10:47:56,31.261861111111113,34.80285277777777,17.223318480797793
IMG_2770.HEIC,data/raw_photos/Building28Area/IMG_2770.HEIC,2025:12:27 10:48:00,31.261861111111113,34.80285555555555,16.774400173705352
IMG_2771.HEIC,data/raw_photos/Building28Area/IMG_2771.HEIC,2025:12:27 10:48:01,31.261861111111113,34.80285555555555,16.081312881411844
IMG_2772.HEIC,data/raw_photos/Building28Area/IMG_2772.HEIC,2025:12:27 10:48:05,31.261866666666666,34.80287222222222,14.836274636094293
IMG_2773.HEIC,data/raw_photos/Building28Area/IMG_2773.HEIC,2025:12:27 10:48:23,31.261869444444443,34.80271944444444,11.104032657100445
IMG_2774.HEIC,data/raw_photos/Building28Area/IMG_2774.HEIC,2025:12:27 10:48:26,31.261877777777777,34.802730555555556,9.942346071402174
IMG_2775.HEIC,data/raw_photos/Building28Area/IMG_2775.HEIC,2025:12:27 10:48:30,31.261883333333333,34.80273333333333,9.241627736815444
IMG_2776.HEIC,data/raw_photos/Building28Area/IMG_2776.HEIC,2025:12:27 10:48:33,31.261883333333333,34.802727777777775,9.230319763708746
IMG_2777.HEIC,data/raw_photos/Building28Area/IMG_2777.HEIC,2025:12:27 10:48:37,31.261880555555557,34.80272222222222,9.474465773270554
